#frame   energy
11665   -229.477
10798   -223.724
11677   -240.594
7798    -228.847
12660   -233.962
3834    -202.431
8031    -229.325
33162   -211.843
34823   -234.769
13587   -236.957
39956   -229.932
